34 2
34 0.918535 -0.103742
1 0.881883 0.732451
33 0.916091 -0.089224
3 0.878427 0.287664
2 0.871096 0.574144
4 0.865755 0.567649
32 0.905184 -0.001011
14 0.874899 0.444061
24 0.928244 -0.204547
8 0.875151 0.539397
7 0.927910 1.218997
9 0.873332 0.263733
30 0.927903 -0.192878
28 0.914119 -0.080430
6 0.930605 1.259695
20 0.870582 0.417210
31 0.889161 0.086477
29 0.894746 0.087010
5 0.913043 1.127920
25 0.913613 -0.052787
11 0.921336 1.151210
26 0.941133 -0.226597
13 0.873816 0.608770
17 0.943848 1.315086
19 0.924694 -0.181624
21 0.914111 -0.068707
18 0.873865 0.707965
23 0.926217 -0.167916
10 0.891364 0.009167
27 0.931131 -0.151876
15 0.921042 -0.136913
16 0.921257 -0.150099
22 0.867847 0.653511
12 0.879847 0.863566
